,,0,1,2,3,4,,,
num__availability_60,25%,-0.341266415,-1.264810014,-1.264810014,0.5309692071578201,-0.649114281,,,
num__availability_60,50%,0.069197407,-1.264810014,0.4283532516368471,1.0440489847626853,0.223121341,,,
num__availability_60,75%,0.5309692071578201,-0.700422259,1.5058207846070637,1.4545128068465774,0.8901250514812257,,,
num__availability_60,max,1.6597447178885234,0.6335851626787932,1.813668651169983,1.813668651169983,1.813668651169983,,,
num__availability_90,count,641,1202,78,983,661,,,
num__availability_90,mean,0.1696953633821573,-0.931402333,0.1976877150079945,0.9183238321552971,0.14014963301040004,,,
num__availability_90,std,0.6534172097005699,0.631084798,1.2059174889753348,0.4672745629429322,0.9380978391138379,,,
num__availability_90,min,-1.429814653,-1.429814653,-1.429814653,-0.803494604,-1.429814653,,,
num__availability_90,25%,-0.177174555,-1.429814653,-1.223788321,0.6139665602226647,-0.704601965,,,
num__availability_90,50%,0.2843244289866822,-1.297957801,0.5974844536608656,0.9765729045822452,0.3502528552338787,,,
num__availability_90,75%,0.6469307733462629,-0.539780899,1.3309381956609263,1.3062150358182278,0.8776802652114506,,,
num__availability_90,max,1.438071888312621,0.6469307733462629,1.5369645276834154,1.5369645276834154,1.5369645276834154,,,
num__availability_365,count,641,1202,78,983,661,,,
num__availability_365,mean,-0.134456326,-0.530311037,0.5082339079627943,0.6374582991767007,0.086772495,,,
num__availability_365,std,0.8295690217277628,0.8799843690189867,1.1120261724598908,0.8299436374186879,0.9914161665382314,,,
num__availability_365,min,-1.379145955,-1.379145955,-1.379145955,-1.14059843,-1.379145955,,,
num__availability_365,25%,-0.8543414,-1.379145955,-0.351403701,-0.067134567,-0.822535063,,,
num__availability_365,50%,-0.242069419,-0.846389816,0.9824745433835064,0.9745229592126516,0.028284443,,,
num__availability_365,75%,0.4894763247905218,0.2191224629814658,1.467521177805636,1.3641505835845265,1.1096998901171795,,,
num__availability_365,max,1.4913759303181997,1.236925236850853,1.5231822670016182,1.5231822670016182,1.5231822670016182,,,
num__number_of_reviews,count,641,1202,78,983,661,,,
num__number_of_reviews,mean,1.1540369430606343,-0.242719563,-0.613539653,-0.273581651,-0.198490029,,,
num__number_of_reviews,std,1.577053751095875,0.6063150613790129,0.026252237048061056,0.5263872897304948,0.5588441131887992,,,
num__number_of_reviews,min,-0.588860626,-0.628756256,-0.628756256,-0.628756256,-0.628756256,,,
num__number_of_reviews,25%,-0.030321798,-0.598834533,-0.628756256,-0.598834533,-0.558938903,,,
num__number_of_reviews,50%,0.6279561053257972,-0.499095457,-0.618782348,-0.499095457,-0.399356381,,,
num__number_of_reviews,75%,1.9046162820329229,-0.169956505,-0.608808441,-0.130060875,-0.080191336,,,
num__number_of_reviews,max,8.317838888460125,4.158719406531442,-0.479147642,3.729841378418892,3.2710416274147684,,,
num__number_of_reviews_ltm,count,641,1202,78,983,661,,,
num__number_of_reviews_ltm,mean,1.5782168614787464,-0.45346624,-0.707656095,-0.34638689,-0.107224054,,,
num__number_of_reviews_ltm,std,1.0738691132807061,0.44751277762934466,0.1260117944377685,0.5083127086073417,0.6997013255283909,,,
num__number_of_reviews_ltm,min,-0.784757186,-0.784757186,-0.784757186,-0.784757186,-0.784757186,,,
num__number_of_reviews_ltm,25%,0.8806263921704801,-0.738496531,-0.784757186,-0.738496531,-0.692235876,,,
num__number_of_reviews_ltm,50%,1.4820149066279376,-0.645975221,-0.738496531,-0.599714566,-0.368411292,,,
num__number_of_reviews_ltm,75%,2.129664076043661,-0.368411292,-0.692235876,-0.044586707,0.2792378777130225,,,
num__number_of_reviews_ltm,max,6.7557295718702575,1.9446214562105968,-0.044586707,1.8058394913357996,2.9160952103341824,,,
num__number_of_reviews_l30d,count,641,1202,78,983,661,,,
num__number_of_reviews_l30d,mean,1.3955676901954128,-0.451889513,-0.631798707,-0.293271795,-0.020909563,,,
num__number_of_reviews_l30d,std,1.2080350876529113,0.4872263060541962,0.2656988172227346,0.5581680950744454,0.802166739,,,
num__number_of_reviews_l30d,min,-0.714689736,-0.714689736,-0.714689736,-0.714689736,-0.714689736,,,
num__number_of_reviews_l30d,25%,0.6707745968702304,-0.714689736,-0.714689736,-0.714689736,-0.714689736,,,
num__number_of_reviews_l30d,50%,1.1325960410267333,-0.714689736,-0.714689736,-0.714689736,-0.252868291,,,
num__number_of_reviews_l30d,75%,2.056238929339739,-0.252868291,-0.714689736,0.2089531527137276,0.6707745968702304,,,
num__number_of_reviews_l30d,max,16.372703698191327,2.5180603734962417,1.1325960410267333,2.056238929339739,3.441703261809247,,,
num__review_scores_rating,count,641,1202,78,983,661,,,
num__review_scores_rating,mean,0.21841186385268843,0.091191773,-4.833775116,0.036388651521164085,0.1386534012094394,,,
num__review_scores_rating,std,0.25736643488649763,0.58697259,2.954367379,0.6283591466538737,0.5103923007870745,,,
